Date,Open,High,Low,Close,Adj Close,Volume
2017-09-28,7.580000,7.590000,7.432000,7.444000,6.250279,26162435
2017-09-29,7.464000,7.561000,7.382000,7.561000,6.348517,44091034
2017-10-02,7.476000,7.520000,7.316000,7.382000,6.198222,187343675
2017-10-03,7.411000,7.448000,7.320000,7.448000,6.253638,262697254
2017-10-04,7.413000,7.427000,7.115000,7.179000,6.027775,74121105
2017-10-05,7.128000,7.482000,7.112000,7.378000,6.194863,64438567
2017-10-06,7.277000,7.368000,7.228000,7.319000,6.221214,22874783
2017-10-09,7.305000,7.397000,7.230000,7.236000,6.150664,18046035
2017-10-10,7.210000,7.222000,7.092000,7.190000,6.111563,236450426
2017-10-11,7.362000,7.386000,7.292000,7.365000,6.260314,76893722
2017-10-12,7.347000,7.380000,7.308000,7.366000,6.261164,46076715
2017-10-13,7.380000,7.393000,7.319000,7.332000,6.232264,13467402
2017-10-16,7.306000,7.310000,7.173000,7.204000,6.123463,44102169
2017-10-17,7.189000,7.295000,7.138000,7.213000,6.131113,51291568
2017-10-18,7.241000,7.285000,7.162000,7.275000,6.183813,21461356
2017-10-19,7.265000,7.298000,7.176000,7.220000,6.137063,30710478
2017-10-20,7.222000,7.368000,7.209000,7.318000,6.220364,25304510
2017-10-23,7.290000,7.300000,7.155000,7.182000,6.104763,35399548
2017-10-24,7.176000,7.296000,7.150000,7.262000,6.172763,26706339
2017-10-25,7.265000,7.403000,7.234000,7.255000,6.166813,32928467
2017-10-26,7.280000,7.507000,7.212000,7.385000,6.277314,33715078
2017-10-27,7.400000,7.450000,7.110000,7.193000,6.114113,61726072
2017-10-30,7.330000,7.441000,7.293000,7.410000,6.298565,31143825
2017-10-31,7.420000,7.542000,7.400000,7.513000,6.386115,32251104
2017-11-01,7.556000,7.580000,7.430000,7.478000,6.356366,23184416
2017-11-02,7.471000,7.517000,7.379000,7.461000,6.341916,17169691
2017-11-03,7.452000,7.452000,7.260000,7.330000,6.230564,21324319
2017-11-06,7.332000,7.332000,7.196000,7.261000,6.171914,31042875
2017-11-07,7.325000,7.347000,7.209000,7.211000,6.129413,17979064
2017-11-08,7.200000,7.218000,7.126000,7.218000,6.135363,31030172
2017-11-09,7.220000,7.312000,7.170000,7.175000,6.098813,43578004
2017-11-10,7.176000,7.228000,7.132000,7.147000,6.075012,23208291
2017-11-13,7.175000,7.175000,7.060000,7.129000,6.059712,16153564
2017-11-14,7.150000,7.189000,7.070000,7.104000,6.038462,14802748
2017-11-15,7.050000,7.224000,7.021000,7.196000,6.116663,23499067
2017-11-16,7.244000,7.333000,7.211000,7.250000,6.162563,23741337
2017-11-17,7.250000,7.293000,7.174000,7.190000,6.111563,22558136
2017-11-20,7.162000,7.223000,7.078000,7.119000,6.051212,18508569
2017-11-21,7.102000,7.135000,7.022000,7.022000,5.968761,34439165
2017-11-22,7.049000,7.156000,7.032000,7.048000,5.990862,15708759
2017-11-23,7.030000,7.134000,7.022000,7.069000,6.008712,22458599
2017-11-24,7.088000,7.173000,7.070000,7.129000,6.059712,14168403
2017-11-27,7.093000,7.185000,7.071000,7.071000,6.010412,10889976
2017-11-28,7.096000,7.141000,7.080000,7.137000,6.066513,14642446
2017-11-29,7.230000,7.322000,7.202000,7.279000,6.187213,37807623
2017-11-30,7.271000,7.362000,7.182000,7.182000,6.104763,35197988
2017-12-01,7.200000,7.206000,7.060000,7.074000,6.012962,32173350
2017-12-04,7.169000,7.200000,7.113000,7.160000,6.086062,14956110
2017-12-05,7.145000,7.229000,7.120000,7.182000,6.104763,14562804
2017-12-06,7.130000,7.150000,7.055000,7.076000,6.014662,17988117
2017-12-07,7.079000,7.165000,7.050000,7.165000,6.090312,25720473
2017-12-08,7.220000,7.335000,7.199000,7.210000,6.128563,20034987
2017-12-11,7.234000,7.283000,7.206000,7.222000,6.138763,12195297
2017-12-12,7.218000,7.238000,7.166000,7.214000,6.131963,19386271
2017-12-13,7.187000,7.253000,7.181000,7.196000,6.116663,24025194
2017-12-14,7.169000,7.234000,7.135000,7.137000,6.066513,17105560
2017-12-15,7.117000,7.182000,7.092000,7.149000,6.076712,35816473
2017-12-18,7.190000,7.270000,7.180000,7.252000,6.164263,21054086
2017-12-19,7.240000,7.320000,7.235000,7.281000,6.188914,11916198
2017-12-20,7.287000,7.303000,7.204000,7.272000,6.181263,14785831
2017-12-21,7.248000,7.405000,7.216000,7.372000,6.266264,19588584
2017-12-22,7.200000,7.340000,7.200000,7.264000,6.174464,19494042
2017-12-27,7.231000,7.280000,7.191000,7.214000,6.131963,10893895
2017-12-28,7.191000,7.219000,7.131000,7.147000,6.075012,11086399
2017-12-29,7.140000,7.167000,7.069000,7.112000,6.045261,15650276
2018-01-02,7.139000,7.169000,7.050000,7.082000,6.019762,16739343
2018-01-03,7.113000,7.120000,7.055000,7.094000,6.029962,14425017
2018-01-04,7.113000,7.274000,7.104000,7.221000,6.137914,21636964
2018-01-05,7.259000,7.282000,7.203000,7.253000,6.165113,13665667
2018-01-08,7.274000,7.293000,7.220000,7.235000,6.149814,13623906
2018-01-09,7.227000,7.284000,7.217000,7.262000,6.172763,14546942
